pair,story,split,train_adf_tau,train_coint_10,train_half_life,z_by_train_sharpe,z_by_trade_count,train_sharpe,test_sharpe,test_return,test_trades,error
EWA_EWC,AU vs CA country ETFs,2024-04-29,-2.847232892510575,False,32.34888064448464,2.0,0.5,0.7533737258696152,-0.525267288829515,-0.058092269329510726,1,
XLE_XOP,energy vs E&P,2024-04-29,-2.4971647157003805,False,86.08557905310451,1.5,0.5,1.1841730970299684,-0.5709032380562855,-0.06193904633868186,1,
GLD_GDX,gold vs miners,2024-04-29,-0.65460561188938,False,261.85789989289674,1.5,0.5,0.26179191816629993,-0.05832346295127254,-0.018338691946826358,1,
GLD_SLV,gold vs silver,2024-04-29,-1.1759828733260647,False,194.6858448416424,2.0,0.5,1.2164037111790915,0.3968315895158345,0.09275767064738671,4,
GDX_GDXJ,senior vs junior gold miners,2024-04-29,-1.701038881779295,False,143.21908643419277,1.25,0.5,1.0309727160954805,-0.9802603914944424,-0.09586277548410582,1,
KO_PEP,US beverage duopoly,2024-04-30,-3.285195381276171,True,41.57272385376497,1.25,0.5,1.1220559940299115,-1.5450841734130472,-0.27670835251222425,1,
V_MA,card networks,2024-04-30,-4.606863792064319,True,17.89396566804781,0.75,1.0,1.5649455956002896,-0.03622650688880849,-0.008178748410792802,5,
TLT_IEF,long vs intermediate Treasuries,2024-04-30,-3.452973698587989,True,43.17662509597622,1.25,0.5,1.133159003618105,-1.666789294587527,-0.0655204323708154,1,
EWG_EWU,Germany vs UK country ETFs,2024-04-30,-1.5249576440623749,False,235.58459010942335,1.5,0.5,1.1041249440172802,0.3233377699854329,0.038066774785076696,1,
EWZ_EWW,Brazil vs Mexico country ETFs,2024-04-30,-2.5428366457287828,False,57.485881328248105,1.25,0.5,1.1183514022433423,0.4695573249388592,0.11511982262856568,2,
XLU_XLP,utilities vs staples,2024-04-30,-3.8562755953832224,True,29.501632064031206,0.5,0.75,1.286667147092921,-0.4936271034543075,-0.09658110458523139,2,
USO_BNO,WTI vs Brent oil ETFs,2024-04-30,-1.352097548371772,False,397.11402135484417,0.5,0.5,0.6679425774306631,-0.5783425064307456,-0.11772639314553812,1,
