cost_bps,segment,z,total_return,sharpe,n_trades
0.0,train,0.5,0.21863408446790245,0.512062271298539,13
0.0,test,0.5,-0.05427763163290722,-0.3802264831793381,3
0.0,full,0.5,0.5194011011778703,0.6508005908425811,22
5.0,train,0.5,0.187433295132166,0.4507293014452625,13
5.0,test,0.5,-0.05898064961460647,-0.41775458725339926,3
5.0,full,0.5,0.4571285938822498,0.5913924699605952,22
10.0,train,0.5,0.15700137606159736,0.38886913719113003,13
10.0,test,0.5,-0.06366493882931257,-0.45514654769226737,3
10.0,full,0.5,0.39734999253121184,0.5313640829670309,22
20.0,train,0.5,0.09837173391141185,0.2641369638934926,13
20.0,test,0.5,-0.07297755481765222,-0.5292416457384722,3
20.0,full,0.5,0.284888085994339,0.40990299031032135,22
