Z,segment,n_trades,total_return,sharpe,max_drawdown
0.5,train,13,0.187433295132166,0.4507293014452625,-0.07697260095918668
0.5,test,3,-0.05898064961460647,-0.41775458725339926,-0.09674887809886812
0.75,train,10,0.19501174212915529,0.47540551988462365,-0.07697260095918668
0.75,test,2,-0.057605646600605076,-0.4105543827937976,-0.09674887809886812
1.0,train,9,0.238153040683041,0.5728658959960545,-0.07697260095918668
1.0,test,2,-0.04884202658538006,-0.34764340871361377,-0.0944006075874092
1.25,train,7,0.22671032894927534,0.5630866539666559,-0.0769726009591869
1.25,test,2,-0.043760202932723646,-0.31272442500927533,-0.09440060758740865
1.5,train,5,0.18866723563702537,0.5265802295894534,-0.06636556487226186
1.5,test,2,-0.02832307460772643,-0.1986438365088814,-0.08786250026815168
1.75,train,5,0.23307648280444915,0.6856897900487497,-0.06636556487226186
1.75,test,2,-0.02832307460772643,-0.1986438365088814,-0.08786250026815168
2.0,train,5,0.25355046433363926,0.7533737258696152,-0.06636556487226186
2.0,test,1,-0.058092269329510726,-0.525267288829515,-0.08711996160842073
2.5,train,2,0.14913624122833102,0.6806957549109109,-0.03750637913186372
2.5,test,1,-0.031384546793732815,-0.2865947271528052,-0.0871199616084215
