method,horizon,split,calendar,period_end,period_return
equal_weight,1h,train,month,2020-03-31 00:00:00+00:00,-0.012440163190014397
equal_weight,1h,train,month,2020-04-30 00:00:00+00:00,0.008939131036392656
equal_weight,1h,train,month,2020-05-31 00:00:00+00:00,0.017734912933929037
equal_weight,1h,train,month,2020-06-30 00:00:00+00:00,-0.03227848333308936
equal_weight,1h,train,month,2020-07-31 00:00:00+00:00,0.09339741820312808
equal_weight,1h,train,month,2020-08-31 00:00:00+00:00,0.0033814714426863013
equal_weight,1h,train,month,2020-09-30 00:00:00+00:00,0.00630865778800338
equal_weight,1h,train,month,2020-10-31 00:00:00+00:00,0.06874634682633296
equal_weight,1h,train,month,2020-11-30 00:00:00+00:00,0.0751750172968495
equal_weight,1h,train,month,2020-12-31 00:00:00+00:00,0.309000032628455
equal_weight,1h,train,month,2021-01-31 00:00:00+00:00,0.04514727854397016
equal_weight,1h,train,month,2021-02-28 00:00:00+00:00,0.027215063186020183
equal_weight,1h,train,month,2021-03-31 00:00:00+00:00,0.03921930087839387
equal_weight,1h,train,month,2021-04-30 00:00:00+00:00,-0.03976014041132325
equal_weight,1h,train,month,2021-05-31 00:00:00+00:00,-0.16939804872346065
equal_weight,1h,train,month,2021-06-30 00:00:00+00:00,-0.13470828377929345
equal_weight,1h,train,month,2021-07-31 00:00:00+00:00,-0.0582569812000614
equal_weight,1h,train,month,2021-08-31 00:00:00+00:00,-0.07261994565623087
equal_weight,1h,train,month,2021-09-30 00:00:00+00:00,-0.07613738577248119
equal_weight,1h,train,month,2021-10-31 00:00:00+00:00,0.05437501558815616
equal_weight,1h,train,month,2021-11-30 00:00:00+00:00,0.07928848108892161
equal_weight,1h,train,month,2021-12-31 00:00:00+00:00,-0.00938388049846961
equal_weight,1h,train,month,2022-01-31 00:00:00+00:00,-0.06486502096046187
equal_weight,1h,train,month,2022-02-28 00:00:00+00:00,0.05138709510372563
equal_weight,1h,train,month,2022-03-31 00:00:00+00:00,0.013668236770685516
equal_weight,1h,train,month,2022-04-30 00:00:00+00:00,0.0603823669280783
equal_weight,1h,train,month,2022-05-31 00:00:00+00:00,-0.07515960958277013
