method,horizon,split,calendar,n_periods,mean_period_return,std_period_return,win_rate,total_return
equal_weight,1h,train,month,46,0.004766696732531509,0.07669706207850159,0.5434782608695652,0.09523469092357861
equal_weight,1h,train,quarter,16,0.019911919476073417,0.17904122244562554,0.4375,0.09523469092357173
equal_weight,1h,train,year,4,0.07760688253566642,0.40993574337359756,0.5,0.09523469092358372
equal_weight,1h,valid,month,16,-0.0012601762369666147,0.04220313006433858,0.5,-0.03280799979549076
equal_weight,1h,valid,quarter,6,-0.005075958076537286,0.033298431647419725,0.5,-0.03280799979548632
equal_weight,1h,valid,year,3,-0.010867896184960127,0.023635666757384773,0.3333333333333333,-0.03280799979548532
equal_weight,1h,test,month,16,0.020780275941795892,0.05810779746033393,0.4375,0.3575687122423479
equal_weight,1h,test,quarter,6,0.05670599962574504,0.11024116285536655,0.8333333333333334,0.35756871224234454
equal_weight,1h,test,year,2,0.17912666496866936,0.25601163957054046,0.5,0.35756871224233855
ic_weight,1h,train,month,46,0.027577597514864584,0.09335190443486512,0.6521739130434783,1.934557495904011
ic_weight,1h,train,quarter,16,0.08769841749259671,0.21396197466492073,0.625,1.9345574959040097
ic_weight,1h,train,year,4,0.33229437615938834,0.2965180451141857,1.0,1.9345574959040253
ic_weight,1h,valid,month,16,0.004255411743637999,0.04706103733315474,0.5625,0.0529841922415637
ic_weight,1h,valid,quarter,6,0.010142977122156912,0.06102222707839484,0.5,0.05298419224156348
ic_weight,1h,valid,year,3,0.019240978397097153,0.07684876244829987,0.3333333333333333,0.05298419224156459
ic_weight,1h,test,month,16,0.0020453668959060714,0.04593594508405443,0.25,0.017607818012675525
ic_weight,1h,test,quarter,6,0.005281500121632883,0.07577008243834332,0.3333333333333333,0.017607818012673082
ic_weight,1h,test,year,2,0.012872100939774866,0.12885709021607658,0.5,0.017607818012676413
linear,1h,train,month,46,0.02950406811015938,0.09528597741974609,0.5869565217391305,2.150487687983059
linear,1h,train,quarter,16,0.09707407301493981,0.238057669419338,0.5,2.1504876879830905
linear,1h,train,year,4,0.3847985708112973,0.4533822070583102,0.75,2.150487687983065
linear,1h,valid,month,16,-0.009610701948975786,0.04991764750884894,0.375,-0.15927069116224812
linear,1h,valid,quarter,6,-0.024908451044454678,0.0903307033192269,0.5,-0.15927069116224712
linear,1h,valid,year,3,-0.055047465094156256,0.05713391627612628,0.3333333333333333,-0.1592706911622469
linear,1h,test,month,16,-0.023494492623321005,0.05747144688851408,0.25,-0.33310848433374485
linear,1h,test,quarter,6,-0.06360498843761563,0.06034414065638085,0.0,-0.3331084843337465
linear,1h,test,year,2,-0.17648098819296548,0.15028005284389556,0.0,-0.3331084843337474
